UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORATE,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE
P.042,PULAU PINANG,P.042,TASEK GELUGOR,80868,67112,,,,,,,,,,,,,,,,GB,DR. ABDUL HALIM,MALE,51,406,,,,,,,,,,,WARISAN,AKMAL AZHAR,MALE,35,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.043,PULAU PINANG,P.043,BAGAN,89447,68654,MCA,TAN CHUAN HONG,MALE,55,5385,,,,,,PPBM,ALAN OH,MALE,,6149,IMAN,HAFIZ,MALE,35,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.044,PULAU PINANG,P.044,PERMATANG PAUH,107186,87448,,,,,,,,,,,,,,,,PUTRA,CIKGU NASIR,MALE,,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.045,PULAU PINANG,P.045,BUKIT MERTAJAM,120819,92745,MCA,AH PANG,MALE,39,6986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.046,PULAU PINANG,P.046,BATU KAWAN,88812,68831,MCA,TAN LEE HUAT,MALE,55,7145,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,ONG CHIN WEN,MALE,,450,PRM,LEE AH LEONG,MALE,75,148,,,,,,,,,,,,,,,,,,,,,,,,,
P.047,PULAU PINANG,P.047,NIBONG TEBAL,100062,79308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,GOH KHENG HUAT,MALE,60,565,,,,,,,,,,,,,,,
P.048,PULAU PINANG,P.048,BUKIT BENDERA,92521,62489,PCM,RICHIE HUAN XIN YUN,MALE,33,5417,,,,,,GERAKAN,HNG CHEE WEY,MALE,,6743,,,,,,,,,,,,,,,,,,,,,PRM,TEH YEE CHEU,MALE,64,677,,,,,,INDEPENDENT - PEN,RAZALIF ZAIN,MALE,,299,,,,,,,,,,,,,,,
P.049,PULAU PINANG,P.049,TANJONG,52803,37683,MCA,TAN KIM NEE,FEMALE,38,3214,,,,,,GERAKAN,AH LENG,MALE,58,2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.050,PULAU PINANG,P.050,JELUTONG,93989,70707,IPF,DATUK LOGANATHAN A/L THORAISAMY,MALE,59,7387,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,LIM HUAT POH (MARTIN),MALE,54,442,PRM,KOH SWE YONG,MALE,71,264,,,,,,INDEPENDENT - CHAIR,YACOOB BIN NOOR,MALE,33,480,,,,,,,,,,,,,,,
P.051,PULAU PINANG,P.051,BUKIT GELUGOR,117134,86073,MCA,WONG CHIN CHONG,MALE,48,6777,,,,,,PPBM,P. THINAGARANABHAN,MALE,41,8092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.052,PULAU PINANG,P.052,BAYAN BARU,119640,89708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,JEFF OOI,MALE,67,440,PRM,RAVINDER SINGH,MALE,80,251,,,,,,INDEPENDENT - KEY,KAN CHEE YUEN,MALE,49,124,,,,,,,,,,,,,,,
P.053,PULAU PINANG,P.053,BALIK PULAU,80264,63911,,,,,,,,,,,,,,,,PEJUANG,FAZLI MOHAMMAD,MALE,47,341,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,DATO' SRI JOHNNY (DSJ),MALE,50,180,INDEPENDENT - TREE,DATO SRI SABARUDDIN BIN AHMAD,MALE,49,366,,,,,,,,,,
P.054,PERAK,P.054,GERIK,47565,34612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
