UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.069,PERAK,P.069,PARIT,47915,92.34,2.00,2.52,2.22,0.12,0.13,0.68,99.01,0.00,0.76,0.23,6.01,21.25,22.49,16.88,14.68,11.09,4.96,2.25,0.39,49.61,50.39,SEMI URBAN
P.070,PERAK,P.070,KAMPAR,89894,34.58,52.64,10.12,2.02,0.10,0.09,0.46,99.57,0.01,0.42,0.00,4.48,16.49,18.55,17.55,16.70,14.15,8.07,3.30,0.73,50.65,49.35,SEMI URBAN
P.071,PERAK,P.071,GOPENG,143657,42.69,44.76,9.63,2.11,0.16,0.11,0.52,99.16,0.02,0.23,0.59,6.26,22.09,21.00,16.92,14.70,11.24,5.56,1.91,0.33,49.31,50.69,URBAN
P.072,PERAK,P.072,TAPAH,61946,45.53,24.48,13.90,14.88,0.15,0.14,0.92,97.34,0.01,1.59,1.06,5.23,19.99,22.61,16.74,14.36,11.82,6.18,2.48,0.58,50.27,49.73,RURAL
P.073,PERAK,P.073,PASIR SALAK,74761,80.97,12.21,3.26,3.14,0.07,0.05,0.30,99.89,0.01,0.11,0.00,6.04,21.25,23.47,17.84,13.80,9.72,5.64,1.84,0.39,49.87,50.13,RURAL
P.074,PERAK,P.074,LUMUT,92972,72.20,14.13,11.36,0.03,1.07,0.63,0.59,90.39,0.01,0.56,9.03,6.61,23.94,25.10,17.04,12.43,9.62,3.97,1.02,0.25,52.54,47.46,SEMI URBAN
P.075,PERAK,P.075,BAGAN DATUK,58183,56.44,20.44,21.60,0.01,0.31,0.07,1.13,99.79,0.01,0.20,0.00,4.84,19.36,24.20,17.00,14.03,11.34,6.69,2.05,0.51,50.42,49.58,RURAL
P.076,PERAK,P.076,TELUK INTAN,87222,41.88,38.36,18.69,0.25,0.05,0.05,0.71,99.54,0.01,0.45,0.00,4.98,19.18,22.33,16.49,14.00,12.74,7.24,2.40,0.64,48.95,51.05,URBAN
P.077,PERAK,P.077,TANJONG MALIM,93873,54.96,23.65,13.00,7.19,0.13,0.10,0.96,99.48,0.00,0.45,0.06,5.49,19.39,23.62,18.00,12.77,11.30,6.91,2.02,0.50,50.16,49.84,SEMI URBAN
P.078,PAHANG,P.078,CAMERON HIGHLANDS,46020,30.97,27.15,12.19,28.71,0.28,0.11,0.59,99.22,0.01,0.54,0.23,7.17,22.76,22.45,16.80,13.32,9.95,5.19,1.86,0.50,50.56,49.44,SEMI URBAN
