UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,,,,
P.064_N.26,PERAK,P.064,IPOH TIMOR,N.26,TEBING TINGGI,PH - DAP,,37223,660,75.72,28186,123,252,27811,MCA,TONY KHOO BOON CHUAN,MALE,53,5705,DAP,AZIZ BARI,MALE,63,11286,PPBM,ISKANDAR CIKGU RAHMAN,MALE,,10626,PEJUANG,MIOR HAIDIR,MALE,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.064_N.27,PERAK,P.064,IPOH TIMOR,N.27,PASIR PINJI,PH - DAP,,39934,22169,66.27,26465,82,195,26188,MCA,SOO POH YEOW,MALE,44,1523,DAP,GOH SEE HUA,MALE,,23692,GERAKAN,LAM KIN YIP,MALE,45,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065_N.28,PERAK,P.065,IPOH BARAT,N.28,BERCHAM,PH - DAP,,52750,26114,69.74,36786,87,270,36429,MCA,ALBERT HO,MALE,55,3482,DAP,ONG BOON PIOW,MALE,43,29596,GERAKAN,LIM JIN SHENG,MALE,,3351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065_N.29,PERAK,P.065,IPOH BARAT,N.29,KEPAYANG,PH - DAP,,25190,9491,66.32,16707,32,177,16498,MCA,LIM HUEY SHAN,MALE,47,2035,DAP,NGA KOR MING,MALE,50,11977,PPBM,DR. RICHARD NG,MALE,,2486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065_N.30,PERAK,P.065,IPOH BARAT,N.30,BUNTONG,PH - DAP,,36714,19155,70.33,25822,62,277,25483,MIC,S. JAYAGOPI,MALE,66,2257,DAP,THULSI MANOGARAN,FEMALE,34,21412,PPBM,SIVASUBRAMANIAM,MALE,,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,SEBASTIAR,MALE,,237,INDEPENDENT - TREE,MUHAMMAD FAIZ ABDULLAH,MALE,,140,,,,,,,,,,,,,,
P.066_N.31,PERAK,P.066,BATU GAJAH,N.31,JELAPANG,PH - DAP,,35088,20111,70.08,24590,80,214,24296,MMSP,HAMIDAH BINTI MUHAMAD,FEMALE,46,1443,DAP,CHEAH POU HIAN,MALE,,21554,PAS,NAVINTEN A/L SUNDARAJAN,MALE,31,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.066_N.32,PERAK,P.066,BATU GAJAH,N.32,MENGLEMBU,PH - DAP,,38689,21191,67.94,26284,40,229,26015,MCA,PHOON KAI MUN,MALE,36,1684,DAP,CHAW KAM FOON,MALE,39,22875,PPBM,WONG KEAN RONG,MALE,,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.066_N.33,PERAK,P.066,BATU GAJAH,N.33,TRONOH,PH - DAP,,38119,11372,65.75,25063,60,373,24630,MCA,LEONG CHEE WAI,MALE,48,3351,DAP,STEVEN TIW,MALE,29,15602,GERAKAN,SIN KOON YEN,FEMALE,,4230,PEJUANG,ROSLAN BIN ISMAIL,MALE,,478,,,,,,,,,,,,,,,,PBM,BRYAN YONG WU SEAN,MALE,25,710,,,,,,INDEPENDENT - CAR,MEOR SHAHIMUDIN BIN HJ HASIM,MALE,,259,,,,,,,,,,,,,,,,,,,
P.067_N.34,PERAK,P.067,KUALA KANGSAR,N.34,BUKIT CHANDAN,PN - PPBM,,22194,1164,77.91,17291,36,211,17044,UMNO,AZIZUL RAHIM,MALE,,5386,PKR,AMIR SABRI,MALE,33,5108,PPBM,DR. HASHIM BIN BUJANG,MALE,,6550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.067_N.35,PERAK,P.067,KUALA KANGSAR,N.35,MANONG,PN - PAS,,24791,2912,76.40,18941,42,234,18665,UMNO,MUSTAFA SHAH,MALE,44,5308,PAN,JAMSARI MAHAMOOD,MALE,,5137,PAS,BERHANUDIN AHMAD,MALE,55,8220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.068_N.36,PERAK,P.068,BERUAS,N.36,PENGKALAN BAHARU,BN - UMNO,,22573,1076,74.04,16713,36,253,16424,UMNO,CIKGU MAN,MALE,55,6665,PKR,JAIS ASHFAQ,MALE,48,4045,PPBM,AHMAD FAISAL BIN HAJI MANSOR,MALE,50,5589,PEJUANG,CIKGU HALIM,MALE,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.068_N.37,PERAK,P.068,BERUAS,N.37,PANTAI REMIS,PH - DAP,,44432,16432,65.96,29308,52,408,28848,MCA,ALBERT LOOI,MALE,56,4408,DAP,WONG MAY ING,FEMALE,43,20840,GERAKAN,EEE CHIN OON,MALE,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.068_N.38,PERAK,P.068,BERUAS,N.38,ASTAKA,PH - DAP,,41244,17835,66.59,27463,93,337,27033,MCA,DR CHIENG LEE CHONG,MALE,55,3293,DAP,JASON NG THIEN YEONG,MALE,,21128,GERAKAN,AH YONG ( IAN ),MALE,,2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.069_N.39,PERAK,P.069,PARIT,N.39,BELANJA,BN - UMNO,,17767,1223,77.78,13820,40,228,13552,UMNO,CIKGU DIN,MALE,50,6374,PAN,HISHAMUDDIN ABDULLAH,MALE,,1881,PPBM,MEOR NAQIUDDIN,MALE,27,5151,PEJUANG,USTAZ SHAHARUZZAMAN,MALE,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.069_N.40,PERAK,P.069,PARIT,N.40,BOTA,PN - PAS,,30148,1963,80.78,24353,60,350,23943,UMNO,KHAIRUL SHAHRIL BIN MOHAMED,MALE,49,9312,PKR,KAPT. HJ. USAILI BIN ALIAS (B),MALE,70,3138,PAS,DR.NAJIHA,FEMALE,56,11275,PEJUANG,SHAHRIL HARAHAB,MALE,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070_N.41,PERAK,P.070,KAMPAR,N.41,MALIM NAWAR,PH - DAP,,29701,7259,63.58,18885,59,208,18618,MCA,IR. CHIN WOON KHEONG,MALE,37,3646,DAP,SHASHA,FEMALE,,10905,PPBM,SHERRY SYED,FEMALE,,3383,,,,,,,,,,,,,,,,WARISAN,LEONG CHEOK KENG,MALE,,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070_N.42,PERAK,P.070,KAMPAR,N.42,KERANJI,PH - DAP,,28248,8749,63.19,17850,39,245,17566,MCA,NG WAH LENG,FEMALE,66,3452,DAP,ANGELINE KOO HAAI YEN,FEMALE,,12201,GERAKAN,FOONG KAR SING,MALE,,1803,,,,,,,,,,,,,,,,WARISAN,PUAH CHEE HAUR,MALE,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070_N.43,PERAK,P.070,KAMPAR,N.43,TUALANG SEKAH,PH - PKR,,31945,253,74.08,23666,56,289,23321,UMNO,DATUK ABD RAHMAN,MALE,70,7524,PKR,AZLAN HELMI,MALE,42,8025,PPBM,PAZLI ABDULLAH SANI,MALE,,7772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071_N.44,PERAK,P.071,GOPENG,N.44,SUNGAI RAPAT,PH - PAN,,47931,3494,76.14,36497,13,542,35942,UMNO,DATUK HANG TUAH DIN,MALE,55,9152,PAN,DATO SERI NIZAR,MALE,65,15065,PPBM,MAHADER AYOB,MALE,66,11571,,,,,,,,,,,,,,,,WARISAN,ROSHANITA BINTI MOHAMAD BASIR,FEMALE,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071_N.45,PERAK,P.071,GOPENG,N.45,SIMPANG PULAI,PH - PKR,,62756,23273,71.56,44908,46,517,44345,MCA,IR. DR. WAYNE LEE,MALE,42,5956,PKR,WONG CHAI YI,FEMALE,38,30676,PPBM,K.SELVAM,MALE,,7403,,,,,,,,,,,,,,,,WARISAN,HOOI MI SUET,FEMALE,29,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071_N.46,PERAK,P.071,GOPENG,N.46,TEJA,PH - PKR,,32970,4555,71.57,23595,29,309,23257,MCA,LIEW YEE LIN,FEMALE,50,6259,PKR,SANDREA NG,FEMALE,40,10814,PPBM,AHMAD ISHAK,MALE,64,5794,PEJUANG,ASWANNUDIN BIN HARIFFUDIN,MALE,,214,,,,,,,,,,,WARISAN,LOW LEONG SIN,MALE,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.072_N.47,PERAK,P.072,TAPAH,N.47,CHENDERIANG,BN - MCA,,30006,2251,72.09,21631,38,505,21088,MCA,CHOONG SHIN HENG,MALE,41,8406,PKR,ATYRAH HANIM,FEMALE,30,6155,PPBM,MEJAR BERSEKUTU (PA) MHOD YUNUS BIN MHD YUSOP,MALE,43,4862,PEJUANG,MOHD. AMIN BIN MAN,MALE,,134,,,,,,,,,,,WARISAN,AHMAD TARMIZI BIN MOHD GHAZALI,MALE,,93,,,,,,,,,,,INDEPENDENT - HOUSE,TERATAI A/P BAH AROM (ASLI SEMAI),FEMALE,42,1070,INDEPENDENT - TREE,ATAN KATERING,MALE,38,368,,,,,,,,,,,,,,
P.072_N.48,PERAK,P.072,TAPAH,N.48,AYER KUNING,BN - UMNO,,31940,2213,74.85,23906,46,394,23466,UMNO,HAJI ISHSAM HAJI SHAHRUDDIN,MALE,56,9088,PAN,MEJ (DR) MOHD NAZRI HASHIM (B),MALE,50,6875,PAS,USTAZ FARID,MALE,33,6812,PEJUANG,MAZIAH BINTI SALIM,FEMALE,,105,,,,,,,,,,,,,,,,PSM,BAWANI KS,FEMALE,,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.073_N.49,PERAK,P.073,PASIR SALAK,N.49,SUNGAI MANIK,PN - PPBM,,35520,3950,75.95,26979,106,449,26424,UMNO,DATO HJ. IBRAHIM BIN KATOP,MALE,65,7154,PKR,CIKGU MAHA,MALE,54,7660,PPBM,ZAINOL FADZI PAHARUDIN,MALE,56,11610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.073_N.50,PERAK,P.073,PASIR SALAK,N.50,KAMPONG GAJAH,PN - PAS,,39241,3757,79.61,31238,141,463,30634,UMNO,DATUK DR WAN NORASHIKIN BINTI WAN NOORDIN,FEMALE,49,11877,PAN,MOHD SYAMSUL BIN ALAUDDIN,MALE,37,2824,PAS,ZAFARULAZHAN BIN ZAN,MALE,48,15634,PEJUANG,MOHD SAFIAN SAURI BIN PANDAK ABD SAMAD,MALE,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.074_N.51,PERAK,P.074,LUMUT,N.51,PASIR PANJANG,PN - PAS,,62418,5117,80.03,49951,363,427,49161,UMNO,HJ. MOHD RAFIQ BIN MOHD,MALE,37,13301,PAN,CIKGU YAHAYA,MALE,,15065,PAS,HAJI ROSLI ABD RAHMAN,MALE,60,20182,PEJUANG,DATO' MOHD NORAZLEE BIN MOHD,MALE,,339,,,,,,,,,,,WARISAN,NUR INDERASYAWALIS BIN AHMAD MUKHTAR,MALE,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.074_N.52,PERAK,P.074,LUMUT,N.52,PANGKOR,PN - PPBM,,30554,1011,74.37,22722,302,412,22008,UMNO,DATO NORZAMAN,MALE,60,7496,PKR,CIKGU RAZAK @ CR,MALE,,5654,PPBM,NORHASLINDA ZAKARIA,FEMALE,47,8507,PEJUANG,MOHD AZLAN BIN SUHAIMI,MALE,,181,,,,,,,,,,,WARISAN,YAHAYA BIN AHMAD,MALE,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.075_N.53,PERAK,P.075,BAGAN DATUK,N.53,RUNGKUP,BN - UMNO,,19670,3409,73.43,14443,22,247,14174,UMNO,DATO' SHAHRUL,MALE,55,7023,PAN,MUNZIRIE KABIR,MALE,,3614,PAS,CIKGU MUKRI,MALE,63,3537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.075_N.54,PERAK,P.075,BAGAN DATUK,N.54,HUTAN MELINTANG,PH - PKR,,38513,1130,73.36,28252,73,485,27694,UMNO,KHAIRUDDIN BIN TARMIZI,MALE,58,10794,PKR,WASANTHEE A/P SINNASAMY,FEMALE,55,11924,PPBM,KHAIRUN NIZAM BIN MARSOM,MALE,,4976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.076_N.55,PERAK,P.076,TELUK INTAN,N.55,PASIR BEDAMAR,PH - DAP,,39117,17446,71.14,27828,77,272,27479,MCA,KONG SUN CHIN,MALE,60,3615,DAP,WOO KAH LEONG,MALE,,21061,PAS,S.SURIA,MALE,58,2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.076_N.56,PERAK,P.076,TELUK INTAN,N.56,CHANGKAT JONG,PN - PPBM,,48105,1087,77.56,37309,116,460,36733,UMNO,MOHD AZHAR BIN JAMALUDDIN,MALE,55,11044,DAP,BADRUL HISHAM BIN BADARUDIN,MALE,,12145,PPBM,HJ. NADZIRUDDIN BIN HJ. MOHAMED BANDI,MALE,,13232,PEJUANG,MUHAMMAD AMIRUL MAHFUZ,MALE,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.077_N.57,PERAK,P.077,TANJONG MALIM,N.57,SUNGKAI,PH - DAP,,23375,5238,70.60,16502,36,274,16192,MIC,DATO' ELANGO,MALE,57,4311,DAP,A. SIVANESAN,MALE,,9549,PAS,THILAK RAJ A/L GUNASEKARAN,MALE,33,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - DONKEY,CIKGU MAHHADEE,MALE,,588,,,,,,,,,,,,,,,,,,,
P.077_N.58,PERAK,P.077,TANJONG MALIM,N.58,SLIM,PN - PAS,,30581,416,78.03,23861,43,272,23546,UMNO,ZAIDI AZIZ,MALE,45,8737,PKR,MOHD SYAHID BIN MOHD ZAINI,MALE,23,5455,PAS,USTAZ ZULFADLI ZAINAL,MALE,38,9153,PEJUANG,USTAZ MEOR AZIM,MALE,32,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.077_N.59,PERAK,P.077,TANJONG MALIM,N.59,BEHRANG,BN - UMNO,,39917,202,76.56,30562,47,486,30029,UMNO,SALINA SAMSUDIN,FEMALE,51,10337,PAN,KHAIROL NAJIB,MALE,30,10135,PPBM,MOHD AMRAN BIN IBRAHIM,MALE,50,9240,PEJUANG,HAZVEE BIN HAFIZ,MALE,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.078_N.01,PAHANG,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,PH - DAP,,26838,2484,70.99,19052,33,438,18581,MCA,WONG YAP WAH,MALE,38,7372,DAP,HO CHI YANG,MALE,27,9856,GERAKAN,LAI CHII,MALE,,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.078_N.02,PAHANG,P.078,CAMERON HIGHLANDS,N.02,JELAI,BN - UMNO,,19182,6940,78.91,15137,38,485,14614,UMNO,DATO' SRI WAN ROSDY BIN WAN ISMAIL,MALE,64,10058,PKR,ISMAIL BIN MOHD HUSSIN,MALE,51,1438,PPBM,DR. ABDUL RASID,MALE,,3118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079_N.03,PAHANG,P.079,LIPIS,N.03,PADANG TENGKU,BN - UMNO,,19407,507,79.85,15497,47,182,15268,UMNO,MUSTAPA LONG,MALE,61,7198,PAN,RUZI @ NATA BIN YUSUFF,MALE,54,1203,PAS,KHAIDER KAMIL,MALE,,6691,PEJUANG,MOHD ROSTAM BIN MUSTAPHA,MALE,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079_N.04,PAHANG,P.079,LIPIS,N.04,CHEKA,PN - PAS,,16822,1223,74.69,12565,41,143,12381,MCA,HO FONG MEE,MALE,58,4411,PKR,RASID BIN MUHAMAD,MALE,63,2255,PAS,TUAN IBRAHIM,MALE,62,5634,PEJUANG,AISHATON BINTI ABU BAKAR,FEMALE,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079_N.05,PAHANG,P.079,LIPIS,N.05,BENTA,BN - UMNO,,10895,1521,76.01,8281,18,74,8189,UMNO,DATO SRI SOFFI TAN SRI RAZAK,MALE,66,3948,PKR,RIZAL BIN JAMIN,MALE,49,2427,PPBM,CIKGU EMBONG LIAS,MALE,,1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.06,PAHANG,P.080,RAUB,N.06,BATU TALAM,BN - UMNO,,19683,2869,78.10,15373,32,257,15084,UMNO,ABD AZIZ BIN MAT KIRAM,MALE,62,7992,PKR,SHAHUDDIN BIN ABDUL RAHMAN,MALE,64,1969,PPBM,AHMAD SABRI BIN MAT DUI,MALE,33,5123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.07,PAHANG,P.080,RAUB,N.07,TRAS,PH - DAP,,38329,11397,73.05,28000,57,257,27686,MCA,LIM TECK HOE,MALE,46,5858,DAP,TENGKU ZULPURI SHAH BIN RAJA PUJI,MALE,58,17255,GERAKAN,AMIRUL KUEK,MALE,,4233,PEJUANG,USTAZ TAHIR,MALE,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.08,PAHANG,P.080,RAUB,N.08,DONG,BN - UMNO,,17052,1046,80.49,13725,33,145,13547,UMNO,FADZLI BIN MOHAMAD KAMAL,MALE,42,6142,PAN,MOHD JAWAAD,MALE,37,2309,PAS,TENGKU AMIR,MALE,,5096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081_N.09,PAHANG,P.081,JERANTUT,N.09,TAHAN,PN - PAS,,20895,2014,79.30,16569,38,267,16264,UMNO,FAEZAH ISHAK,FEMALE,35,6763,PAN,TALIB TAHAR,MALE,59,724,PAS,USTAZ ZAKUAN,MALE,,8777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081_N.10,PAHANG,P.081,JERANTUT,N.10,DAMAK,PN - PAS,,34967,2296,76.09,26606,81,318,26207,UMNO,FASAL JAMLUS,MALE,,6655,PKR,MOHAMAD RAFLY BIN MOHD SATAR,MALE,61,8587,PAS,ZURIDAN BIN MOHD DAUD,MALE,51,10883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,IZZUDDIN BIN ISMAIL,MALE,,82,,,,,,,,,,,,,,,,,,,
P.081_N.11,PAHANG,P.081,JERANTUT,N.11,PULAU TAWAR,PN - PAS,,31189,3403,78.87,24599,64,296,24239,UMNO,DATO' HJ. NAZRI BIN NGAH,MALE,64,9552,PAN,NORANI IJAM,MALE,53,1129,PAS,USTAZ YOHANIS,MALE,,12955,PEJUANG,MOHD ROSIDI BIN HASSAN,MALE,,50,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,DATO' RIDZUAN BIN MANSOR,MALE,48,553,,,,,,,,,,,,,,,,,,,
P.082_N.12,PAHANG,P.082,INDERA MAHKOTA,N.12,BESERAH,PN - PAS,,59370,11521,78.61,46669,185,405,46079,UMNO,DATO' INDERA HAJI MUSTAFFAR KAMAL BIN HAJI AB HAMID,MALE,68,9346,PAN,HAJI ZULKIFLI MOHAMED,MALE,49,12346,PAS,ANDANSURA RABU,MALE,,23867,PEJUANG,CIKGU MOHD PAUZI,MALE,,394,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,JOSEPH TANG,MALE,45,126,,,,,,,,,,,,,,,,,,,
P.082_N.13,PAHANG,P.082,INDERA MAHKOTA,N.13,SEMAMBU,PH - PKR,,61179,1804,78.01,47723,76,405,47242,UMNO,HAJI KHAIRUL HISHAM B. OMAR,MALE,,10422,PKR,CHAN CHUN KUANG,MALE,30,18902,PAS,ZULFADLI ZAKARIAH,MALE,,17098,BERJASA,DR RASHIDAH BINTI ABDUL RAHMAN,FEMALE,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.14,PAHANG,P.083,KUANTAN,N.14,TERUNTUM,PH - PKR,,30854,8679,72.53,22377,51,183,22143,MCA,MISTY@TEE CHOON SER,FEMALE,41,4304,PKR,SIM CHON SIANG,MALE,56,12983,GERAKAN,RANNDY YAP,MALE,,3676,PEJUANG,KHAIRUL AFIFIE BIN ABDULLAH,MALE,,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.15,PAHANG,P.083,KUANTAN,N.15,TANJUNG LUMPUR,PN - PAS,,38185,8989,80.48,30730,52,306,30372,UMNO,NARA NORDIN,MALE,,7710,PAN,HAJAH SABRINA,FEMALE,56,5796,PAS,USTAZ ROSLI ABDUL JABAR,MALE,,16699,PEJUANG,AB 'ALIM BIN RUSLAM AHMAD,MALE,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.16,PAHANG,P.083,KUANTAN,N.16,INDERAPURA,BN - UMNO,,18558,922,83.03,15408,19,159,15230,UMNO,DATO' SRI HAJI SHAFIK FAUZAN BIN SHARIF,MALE,57,7029,PKR,HAJI FAKHRUL ANUAR BIN ZULKAWI,MALE,53,2030,PAS,TOK HAFIZAL,MALE,,6107,PEJUANG,NORASHIKIN BINTI ISMAIL,FEMALE,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.17,PAHANG,P.084,PAYA BESAR,N.17,SUNGAI LEMBING,PN - PAS,,19130,1054,77.78,14880,14,172,14694,UMNO,DATO' HAJI UMOR ARBAIN BIN DOLLAH,MALE,64,5908,PKR,DATO SRI AHMAD OMAR,MALE,66,1738,PAS,AYUB ASHRI,MALE,,6962,PEJUANG,MEJAR ANUAR TAJUDDIN (B),MALE,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.18,PAHANG,P.084,PAYA BESAR,N.18,LEPAR,PN - PPBM,,25728,419,78.43,20179,38,419,19722,UMNO,DATO' ABD RAHIM BIN MUDA,MALE,57,8017,PAN,IBROHIM MAZALAN,MALE,39,3166,PPBM,MOHD YAZID BIN MOHD YUNUS,MALE,,8436,PEJUANG,Ir. ROSMINAHAR,MALE,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.19,PAHANG,P.084,PAYA BESAR,N.19,PANCHING,PN - PAS,,34886,7136,79.87,27864,41,252,27571,UMNO,FAUZIAH BINTI ABD WAHAB,FEMALE,59,8031,PKR,HASLINDALINA HASHIM,FEMALE,48,4243,PAS,USTAZ MOHD TARMIZI YAHAYA,MALE,,15167,PEJUANG,AFIF SYAIROL,MALE,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.20,PAHANG,P.085,PEKAN,N.20,PULAU MANIS,PN - PAS,,30113,3931,81.12,24427,53,276,24098,UMNO,KHAIRUDDIN BIN MAHMUD,MALE,70,9133,DAP,KHAIRIL KHALID,MALE,33,1901,PAS,RAFIQ KHAN,MALE,,13064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.21,PAHANG,P.085,PEKAN,N.21,PERAMU JAYA,BN - UMNO,,41915,7823,81.00,33952,98,299,33555,UMNO,MOHAMAD NIZAR BIN MOHAMAD NAJIB,MALE,44,19337,PAN,TUGIMON BIN ABDUL HAMID,MALE,64,2511,PPBM,CIKGU TALIB,MALE,,11514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOUSE,TENGKU DATO' HISHAM,MALE,,193,,,,,,,,,,,,,,,,,,,
P.085_N.22,PAHANG,P.085,PEKAN,N.22,BEBAR,BN - UMNO,,21294,6273,75.12,15997,32,402,15563,UMNO,MOHAMMAD FAKHRUDDIN BIN MOHD ARIFF,MALE,52,10485,PAN,IBRAHIM BIN SULAIMAN,MALE,64,866,PPBM,NARZATUL HAIDAR BIN SAKIM,MALE,,4212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
