UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,,,,
P.003_N.11,PERLIS,P.003,ARAU,N.11,PAUH,PN - PPBM,,14797,2229,76.60,11334,20,169,11145,UMNO,SYED ATIF,MALE,,2695,PKR,AZHAR BIN AMEIR,MALE,47,2369,PPBM,CIKGU MEGAT HASHIRAT,MALE,60,4924,,,,,,,,,,,,,,,,WARISAN,MOHD KHALID AHMAD,MALE,68,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.12,PERLIS,P.003,ARAU,N.12,TAMBUN TULANG,PN - PPBM,,13451,2485,77.34,10403,15,225,10163,UMNO,ISMAIL BIN KASIM (CHU),MALE,,2971,PKR,SYAHMI SUHAIMI,MALE,23,1554,PPBM,ZIKRI,MALE,35,5456,PEJUANG,MATON BIN DIN,MALE,66,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.13,PERLIS,P.003,ARAU,N.13,GUAR SANJI,PN - PAS,,11510,5101,80.02,9210,17,140,9053,UMNO,ROZIEANA BINTI AHMAD,FEMALE,53,1616,PKR,HASPARIZAL BIN HASSAN,MALE,43,601,PAS,USTAZ RIDZUAN BIN HASHIM,MALE,36,6717,PEJUANG,ABDUL MALIK BIN ABDULLAH,MALE,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.14,PERLIS,P.003,ARAU,N.14,SIMPANG EMPAT,PN - PAS,,10697,4008,77.40,8280,11,154,8115,UMNO,NURULHISHAM,MALE,63,1380,PKR,AMRAN BIN DARUS,MALE,,1111,PAS,HAJI RAZALI SAAD,MALE,57,5388,PEJUANG,IZHAR SUDIN,MALE,,73,,,,,,,,,,,WARISAN,DR. HAKIM SAAD,MALE,,35,,,,,,,,,,,INDEPENDENT - BOOK,AMMAR BIN HASSAN,MALE,59,128,,,,,,,,,,,,,,,,,,,
P.003_N.15,PERLIS,P.003,ARAU,N.15,SANGLANG,PN - PAS,,10421,3335,80.40,8378,14,138,8226,UMNO,BUDIN,MALE,62,1776,PAN,DR. AHMAD FADHZIL MOHAMAD,MALE,37,931,PAS,CIKGU SHUKRI,MALE,61,5111,,,,,,,,,,,,,,,,WARISAN,ZAINUDIN BIN YOM,MALE,59,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054_N.01,PERAK,P.054,GERIK,N.01,PENGKALAN HULU,PN - PAS,,20157,1324,75.67,15252,36,271,14945,UMNO,HAJI AZNEL B HAJI IBRAHIM,MALE,59,5790,PAN,ABG MAN,MALE,,2041,PAS,AMIN ROSLAN,MALE,31,7114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054_N.02,PERAK,P.054,GERIK,N.02,TEMENGOR,BN - UMNO,,27408,1048,73.37,20109,48,424,19637,UMNO,SALBIAH MOHAMED,FEMALE,44,8468,PKR,DR SAFWAN,MALE,37,3749,PAS,MOHD NOOR,MALE,58,7420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055_N.03,PERAK,P.055,LENGGONG,N.03,KENERING,PN - PAS,,21596,763,77.23,16679,44,325,16310,UMNO,ROHAIDA BINTI MOHAMAD YAAKUB,FEMALE,,6901,PKR,MOHAMAD JAMEAN,MALE,27,1745,PAS,USTAZ HUSAIRI ARIFFIN,MALE,56,7664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055_N.04,PERAK,P.055,LENGGONG,N.04,KOTA TAMPAN,BN - UMNO,,15354,1237,75.01,11517,23,158,11336,UMNO,SAARANI MOHAMAD,MALE,61,5468,PAN,MOHD SABRI BIN ABDUL MANAF,MALE,,1637,PAS,HAJI JAMIL YAHYA,MALE,56,4231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.05,PERAK,P.056,LARUT,N.05,SELAMA,PN - PAS,,22339,5358,80.81,18052,27,263,17762,UMNO,CIKGU FAIZUL RIZAL,MALE,55,5000,PAN,RAZALI ISMAIL,MALE,48,2343,PAS,USTAZ AKMAL HJ. KAMARUDIN,MALE,44,10358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,OSMAN BIN SIDEK,MALE,,61,,,,,,,,,,,,,,,,,,,
P.056_N.06,PERAK,P.056,LARUT,N.06,KUBU GAJAH,PN - PAS,,21358,4322,79.61,17003,42,280,16681,UMNO,CIKGU MAN,MALE,,5546,PAN,RUSLI BAKAR,MALE,,1188,PAS,KHALIL BIN YAHAYA,MALE,43,9868,PEJUANG,FUADDIN BIN KAMARUDDIN,MALE,70,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.07,PERAK,P.056,LARUT,N.07,BATU KURAU,PN - PPBM,,22022,3218,80.32,17689,61,248,17380,UMNO,MAKLONG LIZA,FEMALE,,5588,PKR,MUHAMAD AIMAN AIZUDDIN BIN MD HUSIN,MALE,33,2669,PPBM,KAPT (B) DATO NAJMUDDIN,MALE,,8806,PEJUANG,CIKGU ZULKIFLI,MALE,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057_N.08,PERAK,P.057,PARIT BUNTAR,N.08,TITI SERONG,PN - PAS,,35900,5274,80.01,28724,57,314,28353,UMNO,PENGHULU SHAHRUL,MALE,53,6497,PAN,MUHAMAD NAKHAIE ABD WAHAB,MALE,36,8291,PAS,USTAZ HAKIMI,MALE,,13565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057_N.09,PERAK,P.057,PARIT BUNTAR,N.09,KUALA KURAU,PN - PPBM,,32602,1347,76.29,24872,50,259,24563,UMNO,CIKGU JAMIL,MALE,57,5292,PKR,CIKGU ANUAR,MALE,46,8962,PPBM,DATO' YUNUS JAMHARI,MALE,50,10309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.10,PERAK,P.058,BAGAN SERAI,N.10,ALOR PONGSU,PN - PPBM,,28656,4015,78.80,22582,12,337,22233,UMNO,DATO' HJ. SHAM MAT SAHAT,MALE,61,6607,PKR,HJ KHAIRUL,MALE,50,5004,PPBM,HAJI NOOR AZMAN BIN GHAZALI,MALE,,10622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.11,PERAK,P.058,BAGAN SERAI,N.11,GUNONG SEMANGGOL,PN - PAS,,27396,7466,80.22,21978,32,315,21631,UMNO,NAZIRUL BIN JAMALUDDIN,MALE,39,5359,PAN,SHEIKH KHUZAIFAH,MALE,,3447,PAS,HAJI RAZMAN BIN ZAKARIA,MALE,62,12825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.12,PERAK,P.058,BAGAN SERAI,N.12,SELINSING,PN - PPBM,,24241,3279,78.21,18959,27,228,18704,UMNO,CIKGU MOHAMAD NOOR,MALE,57,5414,PAN,USTAZ SAQIF ANSORULLAH,MALE,26,4597,PPBM,USTAZ SALLEHUDDIN,MALE,,8693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059_N.13,PERAK,P.059,BUKIT GANTANG,N.13,KUALA SEPETANG,PN - PPBM,,40222,3580,77.01,30973,50,486,30437,UMNO,MOHD KAMARUDDIN BIN ABU BAKAR,MALE,56,8687,PKR,DATO ZAINAL AZMAN BIN ABU SEMAN,MALE,60,9002,PPBM,CIKGU MAD,MALE,,12582,PEJUANG,ZAZA,FEMALE,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059_N.14,PERAK,P.059,BUKIT GANTANG,N.14,CHANGKAT JERING,PN - PAS,,37003,3151,77.30,28604,71,385,28148,UMNO,AHMAD SAIDI,MALE,38,8639,PAN,IR. HAJI MEGAT SHARIFFUDIN,MALE,56,7511,PAS,HAJI RAHIM ISMAIL,MALE,59,11790,PEJUANG,MEJAR (B) NAZAR BIN TALIB,MALE,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
