UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE
P.011,KEDAH,P.011,PENDANG,PN - PAS,,94547,31289,80.79,76381,137,650,75594,UMNO,SURAYA BINTI YAACOB,FEMALE,53,17719,PKR,DATO ZUL,MALE,52,8058,PAS,DATUK HAJI AWANG SOLAHUDIN,MALE,58,49008,GB,RASHID YOB,MALE,43,809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.012,KEDAH,P.012,JERAI,PN - PAS,,105001,33192,79.33,83294,164,837,82293,UMNO,DATO SERI DR. JAMIL KHIR BAHAROM,MALE,61,16269,DAP,ZULHAZMI BIN SHARIFF,MALE,,15590,PAS,USTAZ SABRI AZIT,MALE,56,49461,GB,DATUK NIZAM MAHSHAR,MALE,,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013,KEDAH,P.013,SIK,PN - PAS,,63126,21787,81.83,51659,82,416,51161,UMNO,MAIZA,FEMALE,51,12819,PAN,DATO' LATIFAH,FEMALE,,3736,PAS,AHMAD TARMIZI SULAIMAN,MALE,46,34606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.014,KEDAH,P.014,MERBOK,PN - PPBM,,132444,21019,78.36,103779,208,1027,102544,UMNO,DATO' SHAIFUL HAZIZY,MALE,46,16691,PKR,NURIN AINA,FEMALE,46,31554,PPBM,MOHD NAZRI,MALE,52,52573,IMAN,DATUK MOSIN RAZAK,MALE,,1201,,,,,,,,,,,WARISAN,KHAIRUL ANUAR,MALE,50,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.015,KEDAH,P.015,SUNGAI PETANI,PH - PKR,,168847,1115,77.85,131447,256,1187,130004,UMNO,DATO' SHAHANIM BINTI MOHAMAD YUSOFF,FEMALE,49,27391,PKR,DR. TAUFIQ BIN DATO' JOHARI,MALE,26,50580,PPBM,DR. ROBERT LING,MALE,,49465,PEJUANG,HJ. MARZUKI YAHYA,MALE,52,2342,,,,,,,,,,,,,,,,PRM,TAN JOON LONG @ TAN CHOW KANG,MALE,80,226,,,,,,,,,,,,,,,,,,,,,,,,,
P.016,KEDAH,P.016,BALING,PN - PAS,,132099,29137,83.54,110353,148,1141,109064,UMNO,DATUK AZEEZ RAHIM,MALE,56,35356,PAN,CIKGU JOHARI ABDULLAH,MALE,69,8636,PAS,USTAZ HASSAN,MALE,65,64493,PUTRA,LT KOL (B) BASIR,MALE,,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.017,KEDAH,P.017,PADANG SERAI,PN - PPBM,,133867,16260,68.95,92302,133,753,91416,MIC,DATO SIVARAJ CHANDRAN,MALE,46,2983,PKR,DR. SOFEE RAZAK,MALE,47,35377,PPBM,DATO' CIKGU AZMAN,MALE,50,51637,PUTRA,HAMZAH ABD RAHMAN,MALE,,424,,,,,,,,,,,WARISAN,MOHD BAKHRI BIN HAJI HASHIM,MALE,,149,,,,,,,,,,,INDEPENDENT - HORSE,ANANDA AK,MALE,38,846,,,,,,,,,,,,,,,
P.018,KEDAH,P.018,KULIM-BANDAR BAHARU,PN - PPBM,,90141,13061,79.25,71440,162,938,70340,UMNO,DATUK MUHAR BIN HUSSAIN,MALE,,13872,PKR,DATUK SERI SAIFUDDIN NASUTION ISMAIL,MALE,58,21408,PPBM,CIKGU ROSLAN HASHIM,MALE,,34469,GB,RIZAL,MALE,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019,KELANTAN,P.019,TUMPAT,PN - PAS,,149371,34793,71.08,106173,281,1233,104659,BN - DIRECT,DATO' CHE LAH (DCL),MALE,62,30633,PAN,HAJI WAN JO,MALE,57,7762,PAS,DATO' KAK TAZ,FEMALE,50,65426,PUTRA,ASRI ALI,MALE,,593,,,,,,,,,,,WARISAN,KHAIRUL AZUAN,MALE,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020,KELANTAN,P.020,PENGKALAN CHEPA,PN - PAS,,106982,38270,73.53,78659,268,630,77761,UMNO,DR. HAFIZ,MALE,38,15663,PAN,KAK JAH,FEMALE,48,7356,PAS,DATUK MARZUK,MALE,47,53933,PEJUANG,WAN AHMAD NASRI,MALE,,358,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,ABE WAE - REDZUAN,MALE,48,451,,,,,,,,,,,,,,,
